shell,d,K_meas,rho_tail,ratio,B_CRT
S9,1,0.12822,0.01958,6.5497,6.5354
S9,5,0.12942,0.01958,6.6110,6.5354
S9,7,0.12847,0.01958,6.5626,6.5354
S9,11,0.12850,0.01958,6.5642,6.5354
S9,13,0.12820,0.01958,6.5489,6.5354
S9,17,0.12840,0.01958,6.5589,6.5354
S9,35,0.13144,0.01998,6.5799,6.5354
S10,1,0.10276,0.01574,6.5301,6.5354
S10,5,0.10323,0.01574,6.5597,6.5354
S10,7,0.10326,0.01574,6.5620,6.5354
S10,11,0.10294,0.01574,6.5416,6.5354
S10,13,0.10293,0.01574,6.5410,6.5354
S10,17,0.10306,0.01574,6.5494,6.5354
S10,35,0.10523,0.01606,6.5533,6.5354
